Bandit,Reward,Algorithm
3.0,3.8471964700525856,EpsilonGreedy
3.0,3.913432262665672,EpsilonGreedy
3.0,4.585139027574739,EpsilonGreedy
3.0,2.048680082729816,EpsilonGreedy
3.0,5.954993632265234,EpsilonGreedy
3.0,2.4666405739071138,EpsilonGreedy
3.0,4.579522239974628,EpsilonGreedy
3.0,3.172777765035539,EpsilonGreedy
3.0,2.475956887736397,EpsilonGreedy
3.0,4.237180786330226,EpsilonGreedy
3.0,3.280374603071497,EpsilonGreedy
3.0,2.6746819797702712,EpsilonGreedy
1.0,3.206647370976124,EpsilonGreedy
3.0,6.461529057262104,EpsilonGreedy
3.0,4.899360563513239,EpsilonGreedy
3.0,3.86596656444952,EpsilonGreedy
0.0,1.4876010563466222,EpsilonGreedy
3.0,3.1503366509676916,EpsilonGreedy
3.0,5.2645579992318385,EpsilonGreedy
3.0,4.765144003209068,EpsilonGreedy
3.0,2.651552361680726,EpsilonGreedy
3.0,3.9090156890820134,EpsilonGreedy
3.0,2.7607066667461915,EpsilonGreedy
3.0,4.402892700427443,EpsilonGreedy
3.0,5.1422388107526755,EpsilonGreedy
3.0,5.581267807432363,EpsilonGreedy
3.0,3.9025495075867256,EpsilonGreedy
3.0,4.417846650303715,EpsilonGreedy
3.0,4.722944632608459,EpsilonGreedy
3.0,4.33376573446685,EpsilonGreedy
3.0,5.862815164548787,EpsilonGreedy
3.0,3.3029325655656914,EpsilonGreedy
3.0,5.025111901844152,EpsilonGreedy
3.0,4.8398820320889415,EpsilonGreedy
3.0,5.278006194063606,EpsilonGreedy
3.0,2.7195539932489883,EpsilonGreedy
3.0,5.956702993873589,EpsilonGreedy
3.0,5.233805170668613,EpsilonGreedy
3.0,4.628016297037188,EpsilonGreedy
3.0,4.256989053992285,EpsilonGreedy
3.0,3.9711581032834826,EpsilonGreedy
3.0,4.574430811747243,EpsilonGreedy
3.0,3.1687177766316013,EpsilonGreedy
3.0,7.011821610120608,EpsilonGreedy
3.0,4.609609705312707,EpsilonGreedy
3.0,4.253039684627404,EpsilonGreedy
3.0,3.0436949226286503,EpsilonGreedy
3.0,3.5710154841732678,EpsilonGreedy
3.0,4.329559138888441,EpsilonGreedy
3.0,4.614477689885699,EpsilonGreedy
3.0,3.7437856726051915,EpsilonGreedy
3.0,5.626403851081639,EpsilonGreedy
3.0,3.210124866522352,EpsilonGreedy
3.0,4.733790208884066,EpsilonGreedy
3.0,2.499321054522577,EpsilonGreedy
3.0,4.601158283862234,EpsilonGreedy
3.0,3.9491634282460493,EpsilonGreedy
3.0,4.834050106515143,EpsilonGreedy
3.0,1.9356524029592905,EpsilonGreedy
3.0,3.963234449883866,EpsilonGreedy
3.0,2.142282121139649,EpsilonGreedy
3.0,3.138661899398178,EpsilonGreedy
3.0,4.387275257475994,EpsilonGreedy
3.0,4.1848286980940745,EpsilonGreedy
3.0,3.3151229010163044,EpsilonGreedy
3.0,3.475044024430921,EpsilonGreedy
3.0,4.568317307323186,EpsilonGreedy
3.0,4.236947561608354,EpsilonGreedy
3.0,4.5867519346905326,EpsilonGreedy
3.0,6.778422106037137,EpsilonGreedy
3.0,6.25441427386804,EpsilonGreedy
3.0,2.458451771371167,EpsilonGreedy
3.0,3.8763930731933733,EpsilonGreedy
3.0,4.818511841316958,EpsilonGreedy
3.0,4.0276653868200025,EpsilonGreedy
3.0,3.1450654028476785,EpsilonGreedy
3.0,4.371591592708214,EpsilonGreedy
3.0,3.3000683485623448,EpsilonGreedy
